GBI Store Code,GBI Store Name,GBI Store Address,Ownership,GBI Store Type,GBI Store Region,GBI Store Sub Region,GBI Store Province Municipality,Cluster,GBI Store Email Add,GBI SBU
103169,BAGONG SILANG,"PH 1 Pkg Blk 28 Lot 20 Bagong Silang Brgy. 176 Zone 15 District, Caloocan City",FRANCHISE,Kiosk,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.103169@goldilocks.com,Store
103215,BAGONG SILANG PHASE 5,Phase 5 Blk 14 Langit Road Brgy 176 Caloocan City,FRANCHISE,Test Market,LUZON,MEGA NORTH,CALOOCAN,Cluster 1,store.103215@goldilocks.com,Store
107133,BAGUIO CENTERMALL,"G/F Baguio Center Mall, Magsaysay Ave., Baguio City",FRANCHISE,Kiosk,LUZON,NORTHERN LUZON,BAGUIO CITY,Cluster 2,store.107133@goldilocks.com,Store
107121,BAGUIO SESSION 2,"GF Pelizloy Bldg., Session Rd. Baguio City",FRANCHISE,Kiosk,LUZON,NORTHERN LUZON,BAGUIO CITY,Cluster 2,store.107121@goldilocks.com,Store
113360,BAHAYANG PAG-ASA CAVITE,"C3 & C4 Publick Market P3-A, Bahayang Pag-asa, Imus Cavite",FRANCHISE,Kiosk,LUZON,SOUTHERN LUZON,IMUS,Cluster 3,store.113360@goldilocks.com,Store
700068,BAIS NEGROS ORIENTAL TM,"Marina Building, national Highway, Bais City Negros Oriental.",FRANCHISE,Test Market,VISAYAS,CENTRAL VISAYAS,,Cluster 4,No E-mail Account,Store
107130,BALAGTAS TOWN CENTER,"Golden Cad Brothers Grp of Comp., Inc.",FRANCHISE,Cart,LUZON,CENTRAL LUZON,BALAGTAS (BIGAA),Cluster 2,No E-mail Account,Store
119353,BALAMBAN,"Sta. Cruz , Balamban, Cebu",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,BALAMBAN,Cluster 4,store.119353@goldilocks.com,Store
116063,BALANGA,"J.P. Rizal ST., Poblacion Balanga, Bataan",FRANCHISE,Bakeshop,LUZON,CENTRAL LUZON,"BALANGA, CITY OF",Cluster 2,store.116063@goldilocks.com,Store
600176,"BALAYAN, BATANGAS",Balayan Public Market Bldg. Balayan Batangas,COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,BALAYAN,Cluster 3,store.600176@goldilocks.com,Store
115062,BALER AURORA,"Unit 2, Clister Bldg.Quezon St. Brgy Suklayin, Baler, Aurora",SUBSIDIARIES,Kiosk,LUZON,NORTHERN LUZON,BALER,Cluster 2,store.115062@goldilocks.com,Store
119757,BALINGASAG GAISANO,"G/F Gaisano Capitol Balingasag, Poblacion Balingasag, Misamis Oriental.",SUBSIDIARIES,Test Market,MINDANAO,NORTHERN MINDANAO,BALINGASAG,Cluster 4,store.119757@goldilocks.com,Store
113128,BALIUAG,"D & E Building, Plaza Naning, Poblacion Baliuag, Bulacan",FRANCHISE,Bakeshop,LUZON,CENTRAL LUZON,BALIUAG,Cluster 2,store.113128@goldilocks.com,Store
102150,BALZAIN HIGHWAY,"Balzain Highway, Brgy. Centro 10, Tuguegarao City",SUBSIDIARIES,Bakeshop,LUZON,NORTHERN LUZON,TUGUEGARAO CITY,Cluster 2,store.102150@goldilocks.com,Store
115065,BAMBAN TARLAC,"Mac Arthur, Brgy. Anapula, Bamban, Tarlac City",SUBSIDIARIES,Kiosk,LUZON,CENTRAL LUZON,BAMBAN,Cluster 2,store.115065@goldilocks.com,Store
102183,BAMBANG NUEVA VIZCAYA,"Unit B, EMD, Maharlika, Barangay Banggo, Bambang, Nueva Vizcaya",SUBSIDIARIES,Kiosk,LUZON,NORTHERN LUZON,BAMBANG,Cluster 2,store.102183@goldilocks.com,Store
201602,BANSALAN,"Central Warehouse Club, Inc. Bansalan, Davao del Sur",FRANCHISE,Cart,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,No E-mail Account,Store
115157,BANTAYAN ISLAND CEBU,"Suba, Bantayan Island, Cebu",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,BANTAYAN,Cluster 4,No E-mail Account,Store
119341,BARACCA SUBIC,"National Highway, Brgy Baraca, Subic, Zambales",FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,SUBIC,Cluster 2,store.119341@goldilocks.com,Store
600415,BARAS RIZAL,"128 Unit A, Cespergo Place, Rizal St., corner Layacan St., Brgy San Miguel, Baras Rizal",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,"ANTIPOLO, CITY OF",Cluster 3,store.600415@goldilocks.com,Store
119328,BARETTO,Brgy. Baretto National Highway Olongapo City,FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,OLONGAPO CITY,Cluster 2,store.119328@goldilocks.com,Store
119692,BARILI CEBU,Vinaro Bldg. Carlos Alquisola St. Bob. Barili Cebu 6063,SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,"BARILI, CITY OF",Cluster 4,store.119692@goldilocks.com,Store
600042,BATANGAS CITY,"H.C. Tomson Bldg., D. Silang St., Batangas",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,BATANGAS CITY,Cluster 3,store.600042@goldilocks.com,Store
600416,"BAUAN CITIMART, BATANGAS TM","Unit Bau-GF-03A, Kapitan Ponso St., Citimart Bauan, Batangas",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,BAUAN,Cluster 3,store.600416@goldilocks.com,Store
102137,BAUANG LA UNION,AJ Floresca bldg. #1 Florendo st. Central East Bauang La Union,SUBSIDIARIES,Bakeshop,LUZON,NORTHERN LUZON,BAUANG,Cluster 2,store.102137@goldilocks.com,Store
119840,BAY POBLACION LAGUNA,"Jose Rizal Avenue, Purok 1, Brgy. Dila, Bay Laguna",FRANCHISE,Bakeshop,LUZON,SOUTHERN LUZON,BAY,Cluster 3,For Update,Store
107111,"BAYAMBANG, PANGASIN",CSI Superstore zone 2 Poblacion Bayambang ZONE 2 POBLACION BAYAMBANG PANGASINAN,FRANCHISE,Kiosk,LUZON,NORTHERN LUZON,BAYAMBANG,Cluster 2,store.107111@goldilocks.com,Store
106046,BAYBAY,"A. Bonafacio St. Baybay City, Leyte",FRANCHISE,Cart,VISAYAS,EASTERN VISAYAS,BAYBAY,Cluster 4,store.106046@goldilocks.com,Store
103115,BF PARAÅƒAQUE,#45 Pres. Avenue B.F. Homes Paranaque,FRANCHISE,Kiosk,LUZON,MEGA SOUTH,"PARANAQUE, CITY OF",Cluster 1,store.103115@goldilocks.com,Store
600194,BIG BEN NEW,Big Ben Complex J.P. Laurel Highway Lipa City,COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,LIPA CITY,Cluster 3,store.600194@goldilocks.com,Store
102223,BINALBAGAN NEGROS OCC - SU,PEDRO YULO ST PUBLIC MARKET BINALBAGAN NEGROS OCCIDENTAL,SUBSIDIARIES,Kiosk,VISAYAS,WESTERN VISAYAS,BINALBAGAN,Cluster 4,store.102223@goldilocks.com,Store
600231,BINANGONAN RIZAL,724 JP Rizal St. Libis Binangonan Rizal,COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,BINANGONAN,Cluster 3,store.600231@goldilocks.com,Store
119836,BLUMENTRITT MANILA,"2520 P. Guevarra St., cor. Blumentritt St., Sta. Cruz Manila",FRANCHISE,Bakeshop,LUZON,MEGA SOUTH,"MANILA, CITY OF",Cluster 1,For Update,Store
107162,BOCAUE BULACAN,"1951 Mc Arthur Highway, Lolomboy, Bocaue, Bulacan",FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,"BOCAUE, CITY OF",Cluster 2,No E-mail Account,Store
115145,BOGO,M.H. Del Pilar St. Carbon Bogo City Cebu,SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,BOGO,Cluster 4,store.115145@goldilocks.com,Store
115086,BONGABON TM,Commercial Bongabon Nueva Ecija,SUBSIDIARIES,Test Market,LUZON,CENTRAL LUZON,BONGABON,Cluster 2,store.115086@goldilocks.com,Store
104045,BONI,"# 441 Boni Ave. cor. Barangka Drive , Mandaluyong City",FRANCHISE,Bakeshop,LUZON,MEGA SOUTH,"MANDALUYONG, CITY OF",Cluster 1,store.104045@goldilocks.com,Store
104076,BRIXTON PASIG,"Ground Floor CS05, Dâ€™ Ace Plaza, United St. cor. Brixton St., Pasig City",FRANCHISE,Bakeshop,LUZON,MEGA NORTH,"PASIG, CITY OF",Cluster 1,For Update,Store
600382,BROOKSIDE LANE GEN TRIAS TM,"Brookside lane Arnaldo highway San Francisco st., Gen Trias Cavite",COMPANY OWNED,Test Market,LUZON,SOUTHERN LUZON,CAVITE CITY,Cluster 3,store.600382@goldilocks.com,Store
600227,BROOKSIDE RUBLOU,"Rublou Market Place, Brookside Hills, Ortigas Ave Cor. Sunset Drive, Cainta Rizal",COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,CAINTA,Cluster 3,store.600227@goldilocks.com,Store
102049,BUENDIA,"Sonli Bldg., 2116 Sen Puyat cor Taft, Pasay City",FRANCHISE,Full Store,LUZON,MEGA SOUTH,PASAY CITY,Cluster 1,store.102049@goldilocks.com,Store
119723,BUHANGIN - SU,G/F 2nd Unit VLG Buliding. km 6 Buhangin Davao City,SUBSIDIARIES,Cart,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.119723@goldilocks.com,Store
102163,BUNTUN HIGHWAY,"FSF Building, Buntun Highway, Tuguegarao City",SUBSIDIARIES,Bakeshop,LUZON,NORTHERN LUZON,TUGUEGARAO CITY,Cluster 2,store.102163@goldilocks.com,Store
103160,BUSTILLOS,"421 Figueras Street Bustillos Brgy 402 Zone 41 Sampaloc, Manila",FRANCHISE,Bakeshop,LUZON,MEGA SOUTH,"MANILA, CITY OF",Cluster 1,store.103160@goldilocks.com,Store
107167,BUSTOS BULACAN TM,"Market Poblacion, Bustos Bulacan",FRANCHISE,Test Market,LUZON,CENTRAL LUZON,,Cluster 2,store.107167@goldilocks.com,Store
116210,BUTUAN CALTEX,"Caltex Mini Mart J.C. Aquino Ave., Butuan City",FRANCHISE,Cart,MINDANAO,NORTHERN MINDANAO,BUTUAN CITY,Cluster 4,store.116210@goldilocks.com,Store
116178,BUTUAN LAURENTE,"Stall 101 Laurente Bldg. J.C. Aquino Ave., Butuan City",FRANCHISE,Bakeshop,MINDANAO,NORTHERN MINDANAO,BUTUAN CITY,Cluster 4,store.116178@goldilocks.com,Store
115044,CABANATUAN BAYAN,"G/F Manson Bldg., Sanciangco St. Cor. Burgos St., Cabanatuan City",SUBSIDIARIES,Bakeshop,LUZON,CENTRAL LUZON,CABANATUAN CITY,Cluster 2,store.115044@goldilocks.com,Store
115024,CABANATUAN CROSSING,"G/F Fontalera Bldg. Sangitan East, Cabanatuan City",SUBSIDIARIES,Bakeshop,LUZON,CENTRAL LUZON,CABANATUAN CITY,Cluster 2,store.115024@goldilocks.com,Store
115053,CABANATUAN HI-WAY,"#653 San Juan, Maharlika Hi-way, Cabanatuan City",SUBSIDIARIES,Kiosk,LUZON,CENTRAL LUZON,CABANATUAN CITY,Cluster 2,store.115053@goldilocks.com,Store
119725,CABANTIAN - SU,"Unit 10 AJK 3G Corp. Building, Brgy. Cabantian, Davao City",SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.119725@goldilocks.com,Store
115058,CABIAO NUEVA ECIJA,"#51 San Juan South, Cabiao, Nueva Ecija",SUBSIDIARIES,Kiosk,LUZON,CENTRAL LUZON,CABIAO,Cluster 2,store.115058@goldilocks.com,Store
600191,"CABUYAO, LAGUNA","G/F Bayan Walk Cabuyao Bayan, Laguna",COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,CABUYAO,Cluster 3,store.600191@goldilocks.com,Store
600058,CAEDO,"Caedo Commercial Center, Batangas City",COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,BATANGAS CITY,Cluster 3,store.600058@goldilocks.com,Store
119745,CAGAYAN DE ORO / DIVISORIA - SU,"# 35 Rizal St., Lower G/F Pelaez Arcade II, Divisoria, Cagayan de Oro",SUBSIDIARIES,Bakeshop,MINDANAO,NORTHERN MINDANAO,CAGAYAN DE ORO CITY,Cluster 4,store.119745@goldilocks.com,Store
116442,CAINTA JUNCTION,"LN Business Center, 4 A. Bonifacio Avenue, Cainta, Rizal",FRANCHISE,Kiosk,LUZON,SOUTHERN LUZON,CAINTA,Cluster 3,store.116442@goldilocks.com,Store
600405,CALACA HIGHWAY,"National Highway, Calaca, Batangas",COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,BATANGAS CITY,Cluster 3,store.600405@goldilocks.com,Store
600388,CALAMBA SHOPPING CENTER,"Unit A, 2 Storey Unit, Emerald Green Building, Calamba Shopping Center, Lopez Jaena Street, Calamba City, Laguna",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,CALAMBA,Cluster 3,store.600388@goldilocks.com,Store
600022,CALAMBA-FB,"Unit B Tabamo Bldg. Crossing, Calamba",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,CALAMBA,Cluster 3,store.600022@goldilocks.com,Store
119786,"CALAPAN DOWNTOWN, MINDORO - SU",JP Rizal St. San Vicente East Calapan Oriental Mindoro,SUBSIDIARIES,Bakeshop,LUZON,SOUTHERN LUZON,"CALAPAN, CITY OF",Cluster 3,store.119786@goldilocks.com,Store
102131,CALASIAO PANGASINAN,"Aurelio Consuelo bldg., Poblacion East Calasiao Pangasinan",SUBSIDIARIES,Kiosk,LUZON,NORTHERN LUZON,"PANABO, CITY OF",Cluster 2,store.102131@goldilocks.com,Store
119779,CALAUAG TM,,SUBSIDIARIES,Test Market,LUZON,SOUTHERN LUZON,,Cluster 3,No E-mail Account,Store
119727,CALINAN - SU,"Door #3 TNE Bldg., Davao Bukidnon Highway, Calinan,Davao City",SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.119727@goldilocks.com,Store
109031,CALUMPIT BULACAN,"Calumpit st., Peter Commercial Center Inc., McArthur highway Corazon Calumpit Bulacan",FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,CALUMPIT,Cluster 2,store.109031@goldilocks.com,Store
102259,CAMILING TOWN CENTER,"1 st Flr. Camiling Town Center, Arellano St., Poblacion C, Camiling, Tarlac",FRANCHISE,Bakeshop,LUZON,CENTRAL LUZON,CAMILING,Cluster 2,For Update,Store
600094,CANDELARIA,1194 Rizal St. Poblacion Candelaria Quezon,COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,CANDELARIA,Cluster 3,store.600094@goldilocks.com,Store
113286,"CANDON, ILOCOS SUR","Stern Mall, Brgy. San Nicolas, Candon City, Ilocos Sur",FRANCHISE,Kiosk,LUZON,NORTHERN LUZON,"CANDON, CITY OF",Cluster 2,store.113286@goldilocks.com,Store
115028,CAPAZ TARLAC,"MC ARTHUR HI-WAY, CAPAZ, TARLAC",SUBSIDIARIES,Bakeshop,LUZON,CENTRAL LUZON,CAPAS,Cluster 2,store.115028@goldilocks.com,Store
115121,CARCAR ROTUNDA CEBU,"Rotunda, Polacion II, Carcar City, Cebu",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,CARCAR CITY,Cluster 4,store.115121@goldilocks.com,Store
119700,CARIGARA LEYTE,"San Quintin St., Brgy. Baybay, Carigara City, Leyte",FRANCHISE,Kiosk,VISAYAS,EASTERN VISAYAS,"CARIGARA, CITY OF",Cluster 4,No E-mail Account,Store
115138,"CARMEN, CEBU",Cogon West Plaza Carmen Cebu,SUBSIDIARIES,Cart,VISAYAS,CENTRAL VISAYAS,CARMEN,Cluster 4,store.115138@goldilocks.com,Store
600312,CASIMIRO,"Casimiro Commercial Center, Alabang Zapote Road.,Cor. CAA Road, Talon 3, Las PiÅ„as City",COMPANY OWNED,Kiosk,LUZON,MEGA SOUTH,"LAS PIÅƒAS, CITY OF",Cluster 1,store.600312@goldilocks.com,Store
119606,CASTILLEJOS,San Juan Castillejos Zambales 2208,FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,OLONGAPO CITY,Cluster 2,store.119606@goldilocks.com,Store
119726,CATALUNAN GRANDE - SU,"Door #8 Catalunan Grande, Main Road, Catalunan Grande, Davao City",SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.119726@goldilocks.com,Store
119682,CATANAUAN QUEZON,"Centropen Hotel Rotonda Building 10 Catanauan, Quezon",SUBSIDIARIES,Kiosk,LUZON,SOUTHERN LUZON,CATANAUAN,Cluster 3,store.119682@goldilocks.com,Store
103216,CATBALOGAN,"Corner Curry Ave. and San Bartolome St., Catbalogan City",FRANCHISE,Kiosk,VISAYAS,EASTERN VISAYAS,CATBALOGAN,Cluster 4,store.103216@goldilocks.com,Store
102193,CATICLAN - SU,"Brgy. Caticlan, Malay, Aklan",SUBSIDIARIES,Kiosk,VISAYAS,WESTERN VISAYAS,CATICLAN,Cluster 4,store.102193@goldilocks.com,Store
600044,CAVITE CITY,"P. Burgos Cor. H. Del Trabajo St., Cavite",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,CAVITE CITY,Cluster 3,store.600044@goldilocks.com,Store
116284,CAYPOMBO,"0032 National Road Caypombo, Sta. Marika Bulacan",FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,SANTA MARIA,Cluster 2,store.116284@goldilocks.com,Store
700087,CENTRAL BICUTAN TM,"L-10 -  A Block 184, Purok 1 Central Bicutan, Taguig City",FRANCHISE,Test Market,LUZON,MEGA SOUTH,,Cluster 1,No E-mail Account,Store
102118,CENTRAL MALL BIÅƒAN,"Ground Floor, Central Mall BiÅ„an, National Road, San Vicente BiÅ„an, Laguna",FRANCHISE,Kiosk,LUZON,SOUTHERN LUZON,BINAN,Cluster 3,store.102118@goldilocks.com,Store
600309,CENTRAL SIGNAL VILLAGE TAGUIG,No. 38 Ballecer St. Brgy. Central Signal Village Taguig City,COMPANY OWNED,Kiosk,LUZON,MEGA SOUTH,TAGUIG,Cluster 1,store.600309@goldilocks.com,Store
600269,CENTRO MALL CABUYAO,"Brgy. Pulo, Cabuyao City of Laguna",COMPANY OWNED,Cart,LUZON,SOUTHERN LUZON,CABUYAO,Cluster 3,store.600269@goldilocks.com,Store
107157,CHOICE MARKET,"GF Choice Market Ortigas Ave., Extension, Brgy. Rosario, Pasig City",FRANCHISE,Bakeshop,LUZON,MEGA NORTH,"PASIG, CITY OF",Cluster 1,store.107157@goldilocks.com,Store
106053,CLA PAGSANJAN LAGUNA,"G/F  CLA Town Center, brgy Binan Pagsanjan Laguna",FRANCHISE,Cart,LUZON,SOUTHERN LUZON,BIÃ‘AN,Cluster 3,store.106053@goldilocks.com,Store
600201,"COGEO, RIZAL","Unit 5 LLH Building Olalia Road, Brgy. Sta Cruz Cogeo, Antipolo Rizal",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,"ANTIPOLO, CITY OF",Cluster 3,store.600201@goldilocks.com,Store
115108,COLONADE CEBU,"Colonade Mall, Colon St., Cebu City",SUBSIDIARIES,Bakeshop,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.115108@goldilocks.com,Store
115146,COLONADE MANDAUE,"B. Ceniza Corner P. Gomez St., Colonnade Mandaue Centro(Pob), Cebu City",SUBSIDIARIES,Cart,VISAYAS,CENTRAL VISAYAS,MANDAUE CITY,Cluster 4,store.115146@goldilocks.com,Store
118020,COMEMBO,G/F 2410-33 Taft Ave. cor. Libertad St. Pasay City,FRANCHISE,Bakeshop,LUZON,MEGA SOUTH,"MAKATI, CITY OF",Cluster 1,store.118020@goldilocks.com,Store
600400,COMMONWEALTH MARKET,"#20 Villongco St., Brgy Commonwealth, Quezon City",COMPANY OWNED,Kiosk,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.600400@goldilocks.com,Store
